Date,Aid Year,Status,Count,Total Admit Count,Total ISIR Received,Total ISIR Rejected,Total Valid ISIR %,IS Admit Count,IS ISIR Received,IS ISIR Rejected,IS Valid ISIR %,OS Admit Count,OS ISIR Received,OS ISIR Rejected,OS Valid ISIR %,REGNL Admit Count,REGNL ISIR Received,REGNL ISIR Rejected,REGNL Valid ISIR %,Citizenship,2nd BA,Birth Certificate,Parent No Support,Over Agg,High School,Emancipated Minor,Homeless,Legal Guardian,Orphan,Awarded,Awarded %,Selected,Verified,Verified %,IS Verified %,OS Verified %,Student Type,Packaged,Packaged %,Term Type
2020-01-13,2020-2021,Admit,Total,4533,3341,,0.7370394881976616,,,,,,,,,,,,,,,,,,,,,,,,,816,21,0.025735294117647058,0.027,0.0213,All,,,Fall
2020-12-29,2021-2022,Admit,Total,4404,3145,,0.7141235240690281,,,,,,,,,,,,,,,,,,,,,,,,,621,1,0.001610305958132045,0.0,0.0,All,,,Fall
2021-01-10,2021-2022,Admit,Total,4404,3253,,0.7386466848319709,2696.0,2154.0,,0.7989614243323442,1651.0,1099.0,,0.6656571774682011,,,,,,,,,,,,,,,2922.0,0.8982477712880418,630,19,0.03015873015873016,0.0293,0.0297,All,,,Fall
2021-01-17,2021-2022,Admit,Total,4615,3339,,0.723510292524377,2891.0,2188.0,,0.7568315461777931,1641.0,1113.0,,0.6782449725776966,,,,,,,,,,,,,,,3032.0,0.9080563042827193,630,96,0.1523809523809524,0.1592,0.1379,All,,,Fall
2021-01-27,2021-2022,Admit,Total,7053,5217,,0.7396852403232667,4416.0,3559.0,,0.8059329710144928,2497.0,1659.0,,0.6643972767320785,,,,,,,,,,,,,,,3033.0,0.5813686026451984,1103,85,0.0770625566636446,,,All,,,Fall
2021-02-03,2021-2022,Admit,Total,6281,5292,,0.8425409966565833,3765.0,3602.0,,0.9567065073041169,3765.0,1688.0,,0.44833997343957505,,,,,,,,,,,,,,,4688.0,0.8858654572940288,0,201,,,,All,,,Fall
2021-02-08,2021-2022,Admit,Total,6269,5290,,0.8438347423831553,3759.0,3602.0,,0.9582335727587125,2509.0,1687.0,,0.6723794340374651,,,,,,,,,,,,,,,4688.0,0.8862003780718336,1101,200,0.18165304268846502,0.1854,0.1724,All,,,Fall
2021-02-09,2021-2022,Admit,Total,7113,5295,,0.7444116406579502,4455.0,3606.0,,0.8094276094276094,2511.0,1687.0,,0.6718438868976503,,,,,,,,,,,,,,,4688.0,0.8853635505193579,1098,200,0.18214936247723132,0.1861,0.1724,All,,,Fall
2021-02-15,2021-2022,Admit,Total,9683,5389,,0.5565423938861923,6091.0,3674.0,,0.6031850270891479,3312.0,1713.0,,0.5172101449275363,,,,,,,,,,,,,,,4687.0,0.8697346446465022,1112,225,0.20233812949640287,0.2076,0.1894,All,,,Fall
2021-02-18,2021-2022,Admit,Total,9706,7043,,0.7256336286832887,6108.0,4869.0,,0.7971512770137524,3317.0,2172.0,,0.6548085619535725,,,,,,,,,,,,,,,4687.0,0.6654834587533721,1556,676,0.43444730077120824,0.4449,0.4082,All,,,Fall
2021-02-22,2021-2022,Admit,Total,9742,7050,,0.7236707041675221,6138.0,4874.0,,0.7940697295536006,3323.0,2174.0,,0.6542281071321095,,,,,,,,,,,,,,,6415.0,0.9099290780141844,1542,246,0.15953307392996108,0.1624,0.1523,All,,,Fall
2021-02-24,2021-2022,Admit,Total,9754,7058,,0.7236005741234366,6143.0,4878.0,,0.7940745564056649,3328.0,2178.0,,0.6544471153846154,,,,,,,,,,,,,,,6415.0,0.9088977047322188,1540,246,0.15974025974025974,0.1626,0.1523,All,,,Fall
2021-03-03,2021-2022,Admit,Total,9803,7464,,0.7613995715597266,6182.0,5120.0,,0.8282109349725008,3335.0,2340.0,,0.7016491754122939,,,,,,,,,,,,,,,6644.0,0.890139335476956,1591,290,0.18227529855436833,0.1854,0.1746,All,,,Fall
2021-03-10,2021-2022,Admit,Total,12661,9419,,0.7439380775610142,8048.0,6564.0,,0.8156063618290258,4174.0,2850.0,,0.6827982750359367,,,,,,,,,,,,,,,6842.0,0.7264040768659094,2103,778,0.3699476937708036,0.389,0.3209,All,,,Fall
2021-03-17,2021-2022,Admit,Total,12755,9618,,0.7540572324578597,8160.0,6705.0,,0.8216911764705882,4148.0,2908.0,,0.7010607521697203,,,,,,,,,,,,,,,8561.0,0.8901018922852983,2127,367,0.17254348848142925,0.184,0.1429,All,,,Fall
2021-03-24,2021-2022,Admit,Total,14100,9651,,0.684468085106383,9047.0,6734.0,,0.7443351387200177,4498.0,2913.0,,0.6476211649622055,,,,,,,,,,,,,,,8763.0,0.907988809449798,2098,326,0.1553860819828408,0.1652,0.1299,All,,,Fall
2021-04-07,2021-2022,Admit,Total,14390,10818,,0.751772063933287,9252.0,7616.0,,0.8231733679204496,4563.0,3198.0,,0.7008547008547008,,,,,,,,,,,,,,,9798.0,0.9057127010537992,2338,373,0.15953806672369547,0.1669,0.1391,All,,,Fall
2021-04-14,2021-2022,Admit,Total,14756,11096,,0.7519653022499322,9454.0,7804.0,,0.8254707002327057,4696.0,3291.0,,0.700809199318569,,,,,,,,,,,,,,,9950.0,0.8967195385724586,2354,409,0.17374681393372982,0.1799,0.1565,All,,,Fall
2021-04-21,2021-2022,Admit,Total,14808,11196,,0.7560777957860616,9496.0,7886.0,,0.8304549283909014,4701.0,3309.0,,0.7038927887683472,,,,,,,,,,,,,,,10224.0,0.9131832797427653,2331,362,0.1552981552981553,0.1647,0.1294,All,,,Fall
2021-04-28,2021-2022,Admit,Total,15003,11327,,0.7549823368659602,9628.0,7992.0,,0.8300789364353968,4742.0,3334.0,,0.7030788696752425,,,,,,,,,,,,,,,10369.0,0.9154233247991524,2299,358,0.1557198782079165,0.1638,0.1335,All,,,Fall
2021-05-04,2021-2022,Admit,Total,15032,11338,,0.7542575838211815,9644.0,8001.0,,0.8296350062214849,4751.0,3336.0,,0.7021679646390233,,,,,,,,,,,,,,,10473.0,0.9237078849885342,2259,335,0.14829570606463036,0.1576,0.123,All,,,Fall
2021-05-12,2021-2022,Admit,Total,15047,11640,,0.7735761281318535,9769.0,8217.0,,0.8411301054355614,4814.0,3422.0,,0.7108433734939759,,,,,,,,,,,,,,,10628.0,0.9130584192439862,2278,366,0.16066725197541704,0.1701,0.1353,All,,,Fall
2022-01-12,2022-2023,Deposit,Total,119,69,1.0,0.5714285714285714,80.0,48.0,0.0,0.6,27.0,16.0,1.0,0.5555555555555556,10.0,5.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.8970588235294118,5,0,0.0,0.0,0.0,All,,,Fall
2022-01-12,2022-2023,Admit,Total,5158,3421,66.0,0.6504459092671578,2895.0,2165.0,44.0,0.7326424870466322,1584.0,902.0,15.0,0.5599747474747475,523.0,354.0,7.0,0.6634799235181644,104.0,78.0,1.0,2.0,0.0,0.0,0.0,1.0,38.0,17.0,2945.0,0.8777943368107303,249,0,0.0,0.0,0.0,All,,,Fall
2022-01-18,2022-2023,Admit,Current,5150,3516,62.0,0.6706796116504854,2889.0,2208.0,41.0,0.7500865351332641,1582.0,940.0,16.0,0.584070796460177,522.0,367.0,5.0,0.6934865900383141,107.0,76.0,0.0,2.0,0.0,0.0,0.0,1.0,39.0,17.0,3082.0,0.8922987840185292,260,0,0.0,0.0,0.0,All,,,Fall
2022-01-18,2022-2023,Admit,Total,5211,3553,62.0,0.6699289963538668,2911.0,2227.0,41.0,0.750944692545517,1615.0,955.0,16.0,0.5814241486068111,527.0,370.0,5.0,0.6925996204933587,107.0,76.0,0.0,2.0,0.0,0.0,0.0,1.0,39.0,17.0,3097.0,0.8871383557719851,260,0,0.0,0.0,0.0,All,,,Fall
